SKU;Modelo;MAE;RMSE;MAPE;teste_constante;cv_teste
811077;SARIMA Mensal (m=30);8.0;21.908902300206645;11.111111111111112;nao;103.72
811077;ARIMA Simples;8.0;21.908902300206645;11.111111111111112;nao;103.72
811077;Media Movel (7 dias);8.0;21.908902300206645;11.111111111111112;nao;103.72
811077;Suavizacao Exponencial;8.291475546263582;21.88335143966752;13.61340271574251;nao;103.72
0914;SARIMA Mensal (m=30);38.833333333333336;44.30914126904289;104.48569966430286;nao;72.66
0914;ARIMA Simples;38.833333333333336;44.30914126904289;104.48569966430286;nao;72.66
0914;Media Movel (7 dias);45.53809523809524;48.913104959046436;126.1626865440147;nao;72.66
0914;Suavizacao Exponencial;38.95915695692725;44.81317028404645;107.77228261739367;nao;72.66
MK440;SARIMA Mensal (m=30);0.8666666666666667;0.9309493362512627;28.888888888888886;nao;11.03
MK440;ARIMA Simples;0.8666666666666667;0.9309493362512627;28.888888888888886;nao;11.03
MK440;Media Movel (7 dias);0.8666666666666667;0.9309493362512627;28.888888888888886;nao;11.03
MK440;Suavizacao Exponencial;0.7401263407880381;0.8016190286027015;24.645716771669637;nao;11.03
0904;SARIMA Mensal (m=30);14.533333333333333;17.689921801221544;53.31131848246836;nao;31.10
0904;ARIMA Simples;14.533333333333333;17.689921801221544;53.31131848246836;nao;31.10
0904;Media Movel (7 dias);14.533333333333333;17.689921801221544;53.31131848246836;nao;31.10
0904;Suavizacao Exponencial;15.014727746576169;18.61444057272895;55.71603474310596;nao;31.10
7531;SARIMA Mensal (m=30);42.56666666666667;46.972687099348846;1673.893325591021;nao;102.26
7531;ARIMA Simples;42.56666666666667;46.972687099348846;1673.893325591021;nao;102.26
7531;Media Movel (7 dias);45.5;49.64708786357296;1779.7301206634138;nao;102.26
7531;Suavizacao Exponencial;41.79229080220845;46.96867694038673;1747.0481398231502;nao;102.26
MK420;SARIMA Mensal (m=30);3.3333333333333335;5.773502691896258;6.944444444444444;nao;8.77
MK420;ARIMA Simples;3.3333333333333335;5.773502691896258;6.944444444444444;nao;8.77
MK420;Media Movel (7 dias);6.190476190476189;7.781016494461042;12.212643678160912;nao;8.77
MK420;Suavizacao Exponencial;4.124295203946807;5.956806527177093;8.315339803815437;nao;8.77
792489;SARIMA Mensal (m=30);18.86666677742405;21.449164816339042;78.12500044853287;nao;42.66
792489;ARIMA Simples;18.86666677742405;21.449164816339042;78.12500044853287;nao;42.66
792489;Media Movel (7 dias);18.866666666666667;21.44916470790102;78.125;nao;42.66
792489;Suavizacao Exponencial;17.491627588728313;20.278631136521494;74.13382821180139;nao;42.66
0910;SARIMA Mensal (m=30);25.733333333333334;31.773154286808435;45.87462702027277;nao;52.83
0910;ARIMA Simples;25.733333333333334;31.773154286808435;45.87462702027277;nao;52.83
0910;Media Movel (7 dias);32.22857142857143;34.965853119203906;61.633461864459505;nao;52.83
