ranking;sku;estoque_atual;R(t)_rentabilidade;U(t)_nivel_urgencia;GP(t)_giro_futuro_previsto;score_elencacao
1;MK380;56.0;39.95099567099566;24.368200836820087;1680.0;0.4716298114816076
2;10841;48.0;19.21230769230769;18.68354430379747;1440.0;0.39209038832550086
3;811080;72.0;4.638999999999999;4.285714285714286;2160.0;0.37531275675675674
4;7460;126.0;15.193550724637682;20.731629392971247;2224.2666149978363;0.37457896620346104
5;2202;99.0;11.113508968609866;15.84;1786.8391440632552;0.36226876271529457
6;0904;50.0;10.368823529411763;25.949367088607595;1500.0;0.35260728096593263
7;811076;78.0;4.077142857142857;9.31081081081081;2340.0;0.345404246395806
8;899507;83.0;6.841216216216216;18.444444444444443;2490.0;0.3427934362934363
9;811077;12.0;4.215;0.8999999999999999;360.0;0.2827547368421052
10;7535;23.0;7.541640625000001;12.927007299270073;690.0;0.25870744300314463
