SKU;Modelo;MAE;RMSE;MAPE;teste_constante
811077;SARIMA Mensal (m=30);8.0;21.908902300206645;11.111111111111112;nao
811077;ARIMA Simples;8.0;21.908902300206645;11.111111111111112;nao
811077;Media Movel (7 dias);8.0;21.908902300206645;11.111111111111112;nao
811077;Suavizacao Exponencial;8.0;21.908902300206645;11.111111111111112;nao
0914;SARIMA Mensal (m=30);38.833333333333336;44.30914126904289;104.48569966430286;nao
0914;ARIMA Simples;38.833333333333336;44.30914126904289;104.48569966430286;nao
0914;Media Movel (7 dias);45.53809523809524;48.913104959046436;126.1626865440147;nao
0914;Suavizacao Exponencial;38.83339755991322;44.30917862696086;104.48590731354518;nao
MK440;SARIMA Mensal (m=30);0.8666666666666667;0.9309493362512627;28.888888888888886;nao
MK440;ARIMA Simples;0.8666666666666667;0.9309493362512627;28.888888888888886;nao
MK440;Media Movel (7 dias);0.8666666666666667;0.9309493362512627;28.888888888888886;nao
MK440;Suavizacao Exponencial;0.8666666666666667;0.9309493362512627;28.888888888888886;nao
0904;SARIMA Mensal (m=30);14.533333333333333;17.689921801221544;53.31131848246836;nao
0904;ARIMA Simples;14.533333333333333;17.689921801221544;53.31131848246836;nao
0904;Media Movel (7 dias);14.533333333333333;17.689921801221544;53.31131848246836;nao
0904;Suavizacao Exponencial;14.533333333333333;17.689921801221544;53.31131848246836;nao
7531;SARIMA Mensal (m=30);42.56666666666667;46.972687099348846;1673.893325591021;nao
7531;ARIMA Simples;42.56666666666667;46.972687099348846;1673.893325591021;nao
7531;Media Movel (7 dias);45.5;49.64708786357296;1779.7301206634138;nao
7531;Suavizacao Exponencial;42.568870685766726;46.97462585790397;1673.9728481993718;nao
MK420;SARIMA Mensal (m=30);3.3333333333333335;5.773502691896258;6.944444444444444;nao
MK420;ARIMA Simples;3.3333333333333335;5.773502691896258;6.944444444444444;nao
MK420;Media Movel (7 dias);6.190476190476189;7.781016494461042;12.212643678160912;nao
MK420;Suavizacao Exponencial;3.3333333333333335;5.773502691896258;6.944444444444444;nao
792489;SARIMA Mensal (m=30);18.86666677742405;21.449164816339042;78.12500044853287;nao
792489;ARIMA Simples;18.86666677742405;21.449164816339042;78.12500044853287;nao
792489;Media Movel (7 dias);18.866666666666667;21.44916470790102;78.125;nao
792489;Suavizacao Exponencial;18.866666779172295;21.449164818050676;78.12500045561269;nao
0910;SARIMA Mensal (m=30);25.733333333333334;31.773154286808435;45.87462702027277;nao
0910;ARIMA Simples;25.733333333333334;31.773154286808435;45.87462702027277;nao
0910;Media Movel (7 dias);32.22857142857143;34.965853119203906;61.633461864459505;nao
0910;Suavizacao Exponencial;25.733333333333334;31.773154286808435;45.87462702027277;nao
7535;SARIMA Mensal (m=30);8.933333333333334;11.301917241483116;44.53494218200101;nao
7535;ARIMA Simples;8.933333333333334;11.301917241483116;44.53494218200101;nao
7535;Media Movel (7 dias);9.457142857142857;11.466544058828765;48.1954476327878;nao
7535;Suavizacao Exponencial;8.935216538931067;11.3024325506769;44.54810247031599;nao
MK418;SARIMA Mensal (m=30);0.0;0.0;0.0;sim
MK418;ARIMA Simples;0.0;0.0;0.0;sim
MK418;Media Movel (7 dias);0.0;0.0;0.0;sim
MK418;Suavizacao Exponencial;0.0;0.0;0.0;sim
7710;SARIMA Mensal (m=30);0.0;0.0;0.0;sim
7710;ARIMA Simples;0.0;0.0;0.0;sim
7710;Media Movel (7 dias);0.0;0.0;0.0;sim
7710;Suavizacao Exponencial;0.0;0.0;0.0;sim
MK211;SARIMA Mensal (m=30);0.0;0.0;0.0;sim
MK211;ARIMA Simples;0.0;0.0;0.0;sim
MK211;Media Movel (7 dias);0.0;0.0;0.0;sim
MK211;Suavizacao Exponencial;0.0;0.0;0.0;sim
7261;SARIMA Mensal (m=30);3.1666666666666665;3.9791121287711073;0.0;nao
7261;ARIMA Simples;3.1666666666666665;3.9791121287711073;0.0;nao
7261;Media Movel (7 dias);3.1666666666666665;3.9791121287711073;0.0;nao
