sku;modelo;figura;data;indice_teste;valor_real;valor_previsto;erro_abs
MK380;Holt-Winters;figura5_MK380;2025-09-05;0;56.0;55.279060693041004;0.7209393069589964
MK380;Holt-Winters;figura5_MK380;2025-09-06;1;56.0;55.03317203232616;0.9668279676738365
MK380;Holt-Winters;figura5_MK380;2025-09-07;2;56.0;54.543083536382404;1.4569164636175955
MK380;Holt-Winters;figura5_MK380;2025-09-08;3;53.0;53.436258728370426;0.4362587283704258
MK380;Holt-Winters;figura5_MK380;2025-09-09;4;50.0;53.52161597304839;3.521615973048391
MK380;Holt-Winters;figura5_MK380;2025-09-10;5;48.0;53.17091871998822;5.170918719988222
MK380;Holt-Winters;figura5_MK380;2025-09-11;6;46.0;52.69755002571598;6.697550025715977
MK380;Holt-Winters;figura5_MK380;2025-09-12;7;46.0;52.225766444881494;6.2257664448814936
MK380;Holt-Winters;figura5_MK380;2025-09-13;8;46.0;51.87648670002132;5.876486700021317
MK380;Holt-Winters;figura5_MK380;2025-09-14;9;46.0;51.34513729891247;5.345137298912469
MK380;Holt-Winters;figura5_MK380;2025-09-15;10;46.0;51.19129608079306;5.191296080793059
MK380;Holt-Winters;figura5_MK380;2025-09-16;11;46.0;50.97660440276302;4.976604402763023
MK380;Holt-Winters;figura5_MK380;2025-09-17;12;46.0;51.26434673709459;5.264346737094591
MK380;Holt-Winters;figura5_MK380;2025-09-18;13;46.0;50.98929924935663;4.989299249356627
MK380;Holt-Winters;figura5_MK380;2025-09-19;14;46.0;50.71173511276784;4.71173511276784
MK380;Holt-Winters;figura5_MK380;2025-09-20;15;46.0;50.12269503302449;4.122695033024492
MK380;Holt-Winters;figura5_MK380;2025-09-21;16;46.0;50.097570196169656;4.097570196169656
MK380;Holt-Winters;figura5_MK380;2025-09-22;17;46.0;49.75892289487142;3.758922894871418
MK380;Holt-Winters;figura5_MK380;2025-09-23;18;44.0;48.858026102389864;4.858026102389864
MK380;Holt-Winters;figura5_MK380;2025-09-24;19;44.0;48.89244149584287;4.892441495842867
MK380;Holt-Winters;figura5_MK380;2025-09-25;20;43.0;48.803625415478564;5.803625415478564
MK380;Holt-Winters;figura5_MK380;2025-09-26;21;42.0;48.21631884351799;6.216318843517989
MK380;Holt-Winters;figura5_MK380;2025-09-27;22;42.0;47.50314434909906;5.50314434909906
MK380;Holt-Winters;figura5_MK380;2025-09-28;23;42.0;56.41416050793151;14.414160507931513
MK380;Holt-Winters;figura5_MK380;2025-09-29;24;42.0;58.575313215462145;16.575313215462145
MK380;Holt-Winters;figura5_MK380;2025-09-30;25;41.0;58.17296868676025;17.17296868676025
MK380;Holt-Winters;figura5_MK380;2025-10-01;26;40.0;57.77055645117618;17.770556451176184
MK380;Holt-Winters;figura5_MK380;2025-10-02;27;34.0;57.30608462025868;23.30608462025868
MK380;Holt-Winters;figura5_MK380;2025-10-03;28;32.0;56.65589095481012;24.65589095481012
MK380;Holt-Winters;figura5_MK380;2025-10-04;29;30.0;55.945189353039154;25.945189353039154
MK380;ARIMA;figura6_MK380;2025-09-05;0;56.0;56.0;0.0
MK380;ARIMA;figura6_MK380;2025-09-06;1;56.0;56.0;0.0
MK380;ARIMA;figura6_MK380;2025-09-07;2;56.0;56.0;0.0
MK380;ARIMA;figura6_MK380;2025-09-08;3;53.0;56.0;3.0
MK380;ARIMA;figura6_MK380;2025-09-09;4;50.0;56.0;6.0
MK380;ARIMA;figura6_MK380;2025-09-10;5;48.0;56.0;8.0
MK380;ARIMA;figura6_MK380;2025-09-11;6;46.0;56.0;10.0
MK380;ARIMA;figura6_MK380;2025-09-12;7;46.0;56.0;10.0
MK380;ARIMA;figura6_MK380;2025-09-13;8;46.0;56.0;10.0
MK380;ARIMA;figura6_MK380;2025-09-14;9;46.0;56.0;10.0
MK380;ARIMA;figura6_MK380;2025-09-15;10;46.0;56.0;10.0
MK380;ARIMA;figura6_MK380;2025-09-16;11;46.0;56.0;10.0
MK380;ARIMA;figura6_MK380;2025-09-17;12;46.0;56.0;10.0
MK380;ARIMA;figura6_MK380;2025-09-18;13;46.0;56.0;10.0
MK380;ARIMA;figura6_MK380;2025-09-19;14;46.0;56.0;10.0
MK380;ARIMA;figura6_MK380;2025-09-20;15;46.0;56.0;10.0
MK380;ARIMA;figura6_MK380;2025-09-21;16;46.0;56.0;10.0
MK380;ARIMA;figura6_MK380;2025-09-22;17;46.0;56.0;10.0
MK380;ARIMA;figura6_MK380;2025-09-23;18;44.0;56.0;12.0
MK380;ARIMA;figura6_MK380;2025-09-24;19;44.0;56.0;12.0
MK380;ARIMA;figura6_MK380;2025-09-25;20;43.0;56.0;13.0
MK380;ARIMA;figura6_MK380;2025-09-26;21;42.0;56.0;14.0
MK380;ARIMA;figura6_MK380;2025-09-27;22;42.0;56.0;14.0
MK380;ARIMA;figura6_MK380;2025-09-28;23;42.0;56.0;14.0
MK380;ARIMA;figura6_MK380;2025-09-29;24;42.0;56.0;14.0
MK380;ARIMA;figura6_MK380;2025-09-30;25;41.0;56.0;15.0
MK380;ARIMA;figura6_MK380;2025-10-01;26;40.0;56.0;16.0
MK380;ARIMA;figura6_MK380;2025-10-02;27;34.0;56.0;22.0
MK380;ARIMA;figura6_MK380;2025-10-03;28;32.0;56.0;24.0
MK380;ARIMA;figura6_MK380;2025-10-04;29;30.0;56.0;26.0
MK380;SARIMA;figura7_MK380;2025-09-05;0;56.0;56.0;0.0
MK380;SARIMA;figura7_MK380;2025-09-06;1;56.0;56.0;0.0
MK380;SARIMA;figura7_MK380;2025-09-07;2;56.0;56.0;0.0
MK380;SARIMA;figura7_MK380;2025-09-08;3;53.0;56.0;3.0
MK380;SARIMA;figura7_MK380;2025-09-09;4;50.0;56.0;6.0
MK380;SARIMA;figura7_MK380;2025-09-10;5;48.0;56.0;8.0
MK380;SARIMA;figura7_MK380;2025-09-11;6;46.0;56.0;10.0
MK380;SARIMA;figura7_MK380;2025-09-12;7;46.0;56.0;10.0
MK380;SARIMA;figura7_MK380;2025-09-13;8;46.0;56.0;10.0
MK380;SARIMA;figura7_MK380;2025-09-14;9;46.0;56.0;10.0
MK380;SARIMA;figura7_MK380;2025-09-15;10;46.0;56.0;10.0
MK380;SARIMA;figura7_MK380;2025-09-16;11;46.0;56.0;10.0
MK380;SARIMA;figura7_MK380;2025-09-17;12;46.0;56.0;10.0
MK380;SARIMA;figura7_MK380;2025-09-18;13;46.0;56.0;10.0
MK380;SARIMA;figura7_MK380;2025-09-19;14;46.0;56.0;10.0
MK380;SARIMA;figura7_MK380;2025-09-20;15;46.0;56.0;10.0
MK380;SARIMA;figura7_MK380;2025-09-21;16;46.0;56.0;10.0
MK380;SARIMA;figura7_MK380;2025-09-22;17;46.0;56.0;10.0
MK380;SARIMA;figura7_MK380;2025-09-23;18;44.0;56.0;12.0
MK380;SARIMA;figura7_MK380;2025-09-24;19;44.0;56.0;12.0
MK380;SARIMA;figura7_MK380;2025-09-25;20;43.0;56.0;13.0
MK380;SARIMA;figura7_MK380;2025-09-26;21;42.0;56.0;14.0
MK380;SARIMA;figura7_MK380;2025-09-27;22;42.0;56.0;14.0
MK380;SARIMA;figura7_MK380;2025-09-28;23;42.0;56.0;14.0
MK380;SARIMA;figura7_MK380;2025-09-29;24;42.0;56.0;14.0
MK380;SARIMA;figura7_MK380;2025-09-30;25;41.0;56.0;15.0
MK380;SARIMA;figura7_MK380;2025-10-01;26;40.0;56.0;16.0
MK380;SARIMA;figura7_MK380;2025-10-02;27;34.0;56.0;22.0
MK380;SARIMA;figura7_MK380;2025-10-03;28;32.0;56.0;24.0
MK380;SARIMA;figura7_MK380;2025-10-04;29;30.0;56.0;26.0
