sku;arima_order;sarima_order;sarima_seasonal_order;sarima_PDQ_todos_zeros;aic_arima;aic_sarima;previsoes_arima_sarima_identicas;max_abs_diff_previsao_arima_sarima;rmse_entre_vetores_previsao_arima_sarima;teste_constante;cv_teste;range_teste
811077;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1888.577358695161;1888.577358695161;True;0.0;0.0;False;103.72377109252812;60.0
0914;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;3506.975066842898;3506.975066842898;True;0.0;0.0;False;72.65804466562237;130.0
MK440;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;121.60410018057915;121.60410018057915;True;0.0;0.0;False;11.034443733247674;1.0
0904;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;2472.4119773493703;2472.4119773493703;True;0.0;0.0;False;31.096340590502887;30.0
7531;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;3753.4240978398584;3753.4240978398584;True;0.0;0.0;False;102.26080791172795;112.0
MK420;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;2459.457162365262;2459.457162365262;True;0.0;0.0;False;8.770670149122882;10.0
792489;(0, 1, 1);(0, 1, 1);(0, 0, 0, 30);True;2510.121036963839;2510.121036963839;True;0.0;0.0;False;42.6553155615215;48.0
0910;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;3342.1438929385763;3342.1438929385763;True;0.0;0.0;False;52.82529727654883;100.0
7535;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;2522.1417193566836;2522.1417193566836;True;0.0;0.0;False;54.316260366643675;35.0
MK418;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;-237.79227944707927;-237.79227944707927;True;0.0;0.0;True;0.0;0.0
7710;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;865.1459799973536;865.1459799973536;True;0.0;0.0;True;0.0;0.0
MK211;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;788.9539912698458;788.9539912698458;True;0.0;0.0;True;0.0;0.0
7261;(0, 1, 1);(0, 1, 1);(0, 0, 0, 30);True;2463.462738926248;2463.462738926248;True;0.0;0.0;False;133.67250486915302;5.0
792423;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;172.07178717699134;172.07178717699134;True;0.0;0.0;True;0.0;0.0
MK328;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;-266.8314732789231;-266.8314732789231;True;0.0;0.0;True;0.0;0.0
2157;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;865.145979997354;865.145979997354;True;0.0;0.0;True;0.0;0.0
7705;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;785.6390991472977;785.6390991472977;True;0.0;0.0;True;0.0;0.0
MK363;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;397.2035255795873;397.2035255795873;True;0.0;0.0;True;0.0;0.0
7533;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;3572.10463982473;3572.10463982473;True;0.0;0.0;False;60.574518029920654;96.0
791655;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;411.9431500809217;411.9431500809217;True;0.0;0.0;True;0.0;0.0
2159;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;2786.193013769205;2786.193013769205;True;0.0;0.0;True;0.0;0.0
MK348;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;1791.5682361864228;1791.5682361864228;True;0.0;0.0;True;0.0;0.0
7709;(0, 1, 0);(0, 1, 0);(0, 0, 0, 30);True;785.6390991473004;785.6390991473004;True;0.0;0.0;True;0.0;0.0
