sku;melhor_modelo_mae
811077;SARIMA Mensal (m=30)
0914;SARIMA Mensal (m=30)
MK440;Suavizacao Exponencial
0904;SARIMA Mensal (m=30)
7531;Suavizacao Exponencial
MK420;SARIMA Mensal (m=30)
792489;Suavizacao Exponencial
0910;Suavizacao Exponencial
7535;Suavizacao Exponencial
7261;Suavizacao Exponencial
7533;Suavizacao Exponencial
MK379;SARIMA Mensal (m=30)
2863;Suavizacao Exponencial
792466;Suavizacao Exponencial
MK414;SARIMA Mensal (m=30)
2922;SARIMA Mensal (m=30)
792506;SARIMA Mensal (m=30)
MK436;SARIMA Mensal (m=30)
3330;SARIMA Mensal (m=30)
792470;SARIMA Mensal (m=30)
MK406;ARIMA Simples
791661;Suavizacao Exponencial
2202;SARIMA Mensal (m=30)
10838;Suavizacao Exponencial
MK381;SARIMA Mensal (m=30)
790699;SARIMA Mensal (m=30)
7714;SARIMA Mensal (m=30)
811080;Suavizacao Exponencial
2201;Suavizacao Exponencial
2205;Suavizacao Exponencial
MK390;Suavizacao Exponencial
MK362;Suavizacao Exponencial
MK326;SARIMA Mensal (m=30)
791939;SARIMA Mensal (m=30)
MK382;Suavizacao Exponencial
811078;SARIMA Mensal (m=30)
0907;SARIMA Mensal (m=30)
MK268;SARIMA Mensal (m=30)
791676;SARIMA Mensal (m=30)
10841;Suavizacao Exponencial
MK404;SARIMA Mensal (m=30)
899515;SARIMA Mensal (m=30)
792430;SARIMA Mensal (m=30)
10821;SARIMA Mensal (m=30)
MK367;SARIMA Mensal (m=30)
790723;SARIMA Mensal (m=30)
MK394;Suavizacao Exponencial
899001;SARIMA Mensal (m=30)
7824;SARIMA Mensal (m=30)
791288;Media Movel (7 dias)
791680;Suavizacao Exponencial
790875;Suavizacao Exponencial
2976;SARIMA Mensal (m=30)
790708;SARIMA Mensal (m=30)
792528;SARIMA Mensal (m=30)
811076;SARIMA Mensal (m=30)
791840;Suavizacao Exponencial
899507;SARIMA Mensal (m=30)
MK402;SARIMA Mensal (m=30)
899551;SARIMA Mensal (m=30)
792427;SARIMA Mensal (m=30)
MK360;SARIMA Mensal (m=30)
7460;SARIMA Mensal (m=30)
MK405;SARIMA Mensal (m=30)
MK380;Suavizacao Exponencial
790694;Media Movel (7 dias)
